title_pt;title_en;year;rating;genre;sinopse;Cluster
Procurando Nemo;Finding Nemo;2003;8.2;Animação;Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.;4
O Homem Elefante;The Elephant Man;1980;8.2;Biografia;Um famoso médico estuda a um jovem com a cara deformada, conhecido como Homem Elefante, ele se da conta que o homem é inteligente e de bom coração.;0
Chinatown;Chinatown;1974;8.2;Drama;Um detetive particular contratado para desmascarar um adúltero é pego em uma teia de fraude, corrupção e assassinato.;1
Homem-Aranha: Sem Volta para Casa;Spider-Man: No Way Home;2021;8.2;Ação;Com a identidade do Homem-Aranha revelada, Peter pede ajuda ao Doutor Strange. Quando um feitiço corre mal, inimigos perigosos de outros mundos começam a aparecer, forçando Peter a descobrir o que realmente significa ser o Homem-Aranha.;4
V de Vingança;V for Vendetta;2005;8.2;Ação;Em um futuro da tirania britânica, um lutador clandestino conhecido como V trama um plano para derrubá-la com a ajuda de uma jovem mulher.;0
...E o Vento Levou;Gone with the Wind;1939;8.2;Drama;Uma mulher manipuladora e uma truhan embarcam em um romance turbulento durante a Guerra Civil Americana e o período da Reconstrução.;3
Touro Indomável;Raging Bull;1980;8.1;Biografia;A vida do boxeador Jake LaMotta, que vê como a violência e temperamento que o levam ao topo do ringue, destroem sua vida fora dele.;2
Disque M para Matar;Dial M for Murder;1954;8.2;Policial;Um ex-tenista decide matar a esposa para herdar o dinheiro dela e se vingar de um caso que ela havia tido. A fim de se livrar de culpas, usa um antigo colega de faculdade. Mas as coisas não vão correr como estava planeado.;4
O Castelo Animado;Howl's Moving Castle;2004;8.2;Animação;Uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. Sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.;0
Jogos, Trapaças e Dois Canos Fumegantes;Lock, Stock and Two Smoking Barrels;1998;8.1;Ação;Um jogo de cartas em Londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas.;1
O Segredo dos Seus Olhos;The Secret in Their Eyes;2009;8.2;Drama;Um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. Décadas depois, ambas as memórias continuam a persegui-lo.;2
Divertida Mente;Inside Out;2015;8.1;Animação;Quando o jovem Riley se muda á San Francisco deberá lidiar com suas emoções.;4
Os Suspeitos;Prisoners;2013;8.1;Policial;Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta.;0
Três Anúncios para um Crime;Three Billboards Outside Ebbing, Missouri;2017;8.1;Comédia;Uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.;1
A Ponte do Rio Kwai;The Bridge on the River Kwai;1957;8.1;Aventura;Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.;0
Trainspotting: Sem Limites;Trainspotting;1996;8.1;Drama;Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos.;4
Fargo: Uma Comédia de Erros;Fargo;1996;8.1;Policial;O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.;1
Guerreiro;Warrior;2011;8.1;Ação;O filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas.;4
Gran Torino;Gran Torino;2008;8.1;Drama;Walt Kowalski, um ranzinza veterano da guerra da Coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um Gran Torino de 1972.;3
Prenda-me se for Capaz;Catch Me If You Can;2002;8.1;Biografia;Um agente do FBI persegue Frank Abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado.;1
Meu Amigo Totoro;My Neighbor Totoro;1988;8.1;Animação;Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.;2
Menina de Ouro;Million Dollar Baby;2004;8.1;Drama;Uma mulher determinada se prepara para se tornar numa pugilista profissional.;2
Klaus;Klaus;2019;8.2;Animação;Um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. Quando o novo carteiro de Smeerensburg faz amizade com o fabricante de brinquedos Klaus, seus presentes derreteram uma antiga inimizade.;0
Filhos do Paraíso;Children of Heaven;1997;8.2;Drama;Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los.;2
Harry Potter e as Relíquias da Morte - Parte 2;Harry Potter and the Deathly Hallows: Part 2;2011;8.1;Aventura;Harry, Ron e Hermione devem escapar a Voldemort e tentar trabalhar em conjunto para localizar e aniquilar os Horcruxes, que contêm pedaços da alma de Voldemort.;4
Blade Runner: O Caçador de Androides;Blade Runner;1982;8.1;Ação;Um corredor deberá perseguir é acabar com quatro replicantes que roubaram uma nave no espaço, e deberá regresar á Terra e encontrar seu criador.;0
12 Anos de Escravidão;12 Years a Slave;2013;8.1;Biografia;Solomon Northup, um homem preto livre de Nova Iorque, é raptado e vendido como escravo.;4
Antes do Amanhecer;Before Sunrise;1995;8.1;Drama;Um jovem e uma mulher se conhecem num trem em Europa é passam uma noite juntos em Viena.;4
Em Busca do Ouro;The Gold Rush;1925;8.1;Aventura;Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.;0
O Grande Hotel Budapeste;The Grand Budapest Hotel;2014;8.1;Aventura;As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial.;3
Ben-Hur;Ben-Hur;1959;8.1;Aventura;Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.;4
Garota Exemplar;Gone Girl;2014;8.1;Drama;Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.;2
Sindicato de Ladrões;On the Waterfront;1954;8.1;Policial;Um ex-lutador que virou lutador enfrenta seus chefes corruptos.;0
Barry Lyndon;Barry Lyndon;1975;8.1;Aventura;Um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na Inglaterra do século XVIII.;1
Até o Último Homem;Hacksaw Ridge;2016;8.1;Biografia;O médico amaericano da Segunda Guerra Mundial, Desmond T. Doss, se recusa a matar pessoas e se torna o primeiro homem na história dos Estados Unidos a receber a Medalha de Honra sem atirar um tiro.;3
Em Nome do Pai;In the Name of the Father;1993;8.1;Biografia;Em 1974, uma explosão a bomba acontece em Guilford, próximo de Londres. Gerry Conlon e amigos são acusados pelo crime e presos. Giuseppe Conlon, pai de Gerry, pede ajuda à advogada Gareth Peirce, que investiga as irregularidades do caso.;1
A General;The General;1926;8.1;Ação;Uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas.;0
O Franco Atirador;The Deer Hunter;1978;8.1;Drama;Um retrato detalhado das maneiras pelas quais a Guerra do Vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na Pensilvânia.;3
Morangos Silvestres;Wild Strawberries;1957;8.1;Drama;Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.;2
Memórias de um Assassino;Memories of Murder;2003;8.1;Policial;Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.;1
O 3º Homem;The Third Man;1949;8.1;Filme noir;O romancista Holly Martins viaja para sombria, Viena pós-guerra, apenas para ele mesmo investigar a misteriosa morte de um velho amigo, Harry Lime;4
O Salário do Medo;The Wages of Fear;1953;8.2;Aventura;Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.;4
Relatos Selvagens;Wild Tales;2014;8.1;Comédia;Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.;2
Bancando o Águia;Sherlock Jr.;1924;8.2;Ação;Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.;1
Mad Max: Estrada da Fúria;Mad Max: Fury Road;2015;8.1;Ação;Num mundo apocalíptico, uma mulher se rebela contra um tirano ao procurar uma nova casa para um grupo de mulheres prisioneiras com a ajuda dum homem chamado Max.;4
A Mulher Faz o Homem;Mr. Smith Goes to Washington;1939;8.1;Comédia;Um homem ingênuo é eleito para ocupar uma vaga no Senado dos Estados Unidos. Seus planos colidem rapidamente com a corrupção política, mas ele não desiste.;0
Sociedade dos Poetas Mortos;Dead Poets Society;1989;8.1;Comédia;O professor de Inglés John Keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.;2
Monstros S.A.;Monsters, Inc.;2001;8.1;Animação;Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.;4
Como Treinar o Seu Dragão;How to Train Your Dragon;2010;8.1;Animação;Um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha.;4
Mary e Max: Uma Amizade Diferente;Mary and Max;2009;8.1;Animação;Relata a estranha história de uma amizade entre dois amigos por correspondência: Mary, uma garota solitária de oito anos que vive nos subúrbios de Melbourne, e Max, um homem obeso de quarenta e quatro anos que vive em Nova York.;4
Tubarão;Jaws;1975;8.1;Aventura;Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.;0
O Sétimo Selo;The Seventh Seal;1957;8.1;Drama;Um homem procura respostas sobre a vida, a morte e a existência de Deus enquanto joga xadrez contra a morte durante a Morte Negra.;4
O Quarto de Jack;Room;2015;8.1;Drama;Um menino é mantido preso em um quarto com sua mãe desde seu nascimento, por isso sua visão do mundo é muito reduzida.;2
O Grande Lebowski;The Big Lebowski;1998;8.1;Comédia;Jeff The Dude Lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos.;4
Era uma Vez em Tóquio;Tokyo Story;1953;8.1;Drama;Um casal de idosos visita seus filhos e netos na cidade, mas recebe pouca atenção.;4
Ford vs Ferrari;Ford v Ferrari;2019;8.1;Ação;Um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a Ford e desafiar a Ferrari nas 24 Horas de Le Mans em 1966.;1
Ratatouille;Ratatouille;2007;8.1;Animação;Um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em Paris.;4
Hotel Ruanda;Hotel Rwanda;2004;8.1;Biografia;Paul Rusesabagina era o gerente de um hotel que abrigava mais de mil refugiados tutsis durante sua luta contra a milícia hutu em Ruanda.;1
O Martírio de Joana D'Arc;The Passion of Joan of Arc;1928;8.2;Biografia;Em 1431, Joana D'Arc é julgada sob acusações de heresia. Os advogados da Igreja tentam forçar Jeanne a retractar suas reivindicações de visões sagradas.;4
Rocky: Um Lutador;Rocky;1976;8.1;Drama;Um boxer pouco conhecido tem uma grande oportunidade de enfrentar o campeão dos pesos pesados em uma partida em que ele esperaele espera estar à altura da tarefa e divulgar seu nome.;4
Logan;Logan;2017;8.1;Ação;Em um futuro em que os mutantes estão quase extintos, um velho e cansado Logan leva uma vida tranquila. Mas quando Laura, uma garota mutante perseguida por cientistas, pede ajuda a ele, ele deve colocá-la em segurança.;2
Platoon;Platoon;1986;8.1;Drama;Um jovem soldado do Vietnã se confronta com uma crisis moral frete aos horrores da guerra.;3
Spotlight: Segredos Revelados;Spotlight;2015;8.1;Biografia;A verdadeira historia de como o jornal Boston Globe revelou o escândalo de abuso sexual infantil dentro da igreja católica da cidade e que agitou a toda igreja católica no mundo.;2
O Exterminador do Futuro;The Terminator;1984;8.1;Ação;Um indestrutível robô é enviado de 2029 a 1984 para assassinar a uma jovem garçonete que vai ter um filho que vai liderar uma guerra contra máquinas maa um soldado humano também é enviado para protege-lha.;1
Jai Bhim;Jai Bhim;2021;8.8;Policial;Quando um homem tribal é preso por um caso de suposto roubo, sua esposa recorre a um advogado de direitos humanos para ajudá-lo a fazer justiça.;2
Antes do Pôr do Sol;Before Sunset;2004;8.1;Drama;Nove anos depois de se conhecer, o Jesse e a Celine se encontram novamente na França.;4
Rush: No Limite da Emoção;Rush;2013;8.1;Ação;A história da rivalidade impiedosa nos anos 70 entre os rivais de Fórmula 1 James Hunt e Niki Lauda.;3
Rede de Intrigas;Network;1976;8.1;Drama;Uma rede de televisão explora os delírios e revelações de um homem perturbado.;2
Conta Comigo;Stand by Me;1986;8.1;Aventura;Depois da morte de um de seus velhos amigos, um escritor relembra sua viagem com os amigos de infância para encontrar o corpo de um menino desaparecido.;2
Os Melhores Anos de Nossa Vida;The Best Years of Our Lives;1946;8.1;Drama;Três veteranos da Segunda Guerra Mundial voltam para casa na cidade pequena da América para descobrir que eles e suas famílias foram mudados irreparavelmente.;4
O Mágico de Oz;The Wizard of Oz;1939;8.1;Aventura;A Dorothy Gale é levada por um tornado até a mágica cidade de Oz e vá numa viagem com novos amigos que la ajudar a voltar para casa.;4
Na Natureza Selvagem;Into the Wild;2007;8.1;Aventura;Depois de terminar a universidade, Christopher McCandless deixa pra trás suas posses e vai para o Alasca viver na natureza.;2
O Ódio;La haine;1995;8.1;Policial;24 horas na vida de três jovens nos subúrbios franceses no dia seguinte a uma rebelião violenta.;4
O Exorcista;The Exorcist;1973;8.1;Terror;Quando uma adolescente é possuída por uma entidade misteriosa, sua mãe busca a ajuda de um padre, que também é um psiquiatra, para salvar sua filha.;2
Os Incríveis;The Incredibles;2004;8.0;Animação;Uma familia de heróis encobertos tentando viver uma vida tranquila se vem obrigados a salvar o mundo.;2
Piratas do Caribe: A Maldição do Pérola Negra;Pirates of the Caribbean: The Curse of the Black Pearl;2003;8.1;Ação;O ferreiro Will Turner se junta ao capitão Jack Sparrow para salvar seu amor, a filha do governador, dos ex-aliados piratas de Jack, que agora estão vivos.;4
Ser ou Não Ser;To Be or Not to Be;1942;8.2;Comédia;Durante a ocupação nazista da Polônia, uma trupe de atuação se envolve nos esforços de um soldado polonês para rastrear um espião alemão.;3
Feitiço do Tempo;Groundhog Day;1993;8.0;Comédia;Um homem vive o mesmo dia uma e outra vez.;0
Meu Pai e Meu Filho;My Father and My Son;2005;8.2;Drama;A família de um jornalista de esquerda é separada após o golpe militar na Turquia em 1980.;3
As Vinhas da Ira;The Grapes of Wrath;1940;8.1;Drama;Uma família pobre no Centro-Oeste é forçada a abandonar suas terras. Eles viajam para a Califórnia, sofrendo os infortúnios dos sem-teto na Grande Depressão.;4
Sempre ao Seu Lado;Hachi: A Dog's Tale;2009;8.1;Biografia;Um professor universitário se liga a um cachorro abandonado que ele leva para casa.;4
A Batalha de Argel;The Battle of Algiers;1966;8.1;Drama;Nos anos 50, o medo e a violência aumentam à medida que o povo de Argel lutava pela independência do governo francês.;4
A Criada;The Handmaiden;2016;8.1;Drama;Uma mulher é contratada como criada de uma herdeira japonesa, mas secretamente esta envolvida em um plano para defraudá-la.;0
Amores Brutos;Amores Perros;2000;8.1;Drama;Um terrível acidente de carro conecta três histórias, cada uma envolvendo personagens que lidam com a perda, o arrependimento e as duras realidades da vida, tudo em nome do amor.;2
A Canção da Estrada;Pather Panchali;1955;8.2;Drama;O padre Harihar Ray, sonhando com uma vida melhor para si e sua família, deixa sua aldeia rural de Bengala em busca de trabalho.;2
Rebecca, a Mulher Inesquecível;Rebecca;1940;8.1;Drama;Uma mulher autoconsciente faz malabarismos para se ajustar a seu novo papel de esposa de um aristocrata e evitar ser intimidada pela presença espectral de sua primeira esposa.;2
Rebeldia Indomável;Cool Hand Luke;1967;8.1;Policial;Um sulista quieto é condenado a dois anos em uma prisão rural, mas se recusa a obedecer.;0
A Noviça Rebelde;The Sound of Music;1965;8.1;Biografia;Uma mulher deixa um convento austríaco para se tornar a instrutora dos filhos de um oficial da marinha viúvo.;0
Aconteceu Naquela Noite;It Happened One Night;1934;8.1;Comédia;Uma herdeira mimada que foge de sua família é ajudada por um homem que na verdade é um repórter que precisa de uma história.;2
Os Incompreendidos;The 400 Blows;1959;8.1;Policial;Uma criança, sem atenção, entra em uma vida de pequenos crimes.;1
O Gigante de Ferro;The Iron Giant;1999;8.1;Animação;Um jovem faz amizade com um robô gigante do espaço, um paranóico agente do governo quer que seja destruído.;0
Histórias Cruzadas;The Help;2011;8.1;Drama;Uma aspirante a escritora durante o movimento dos direitos civis nos anos 60 nos Estados Unidos decide escrever um livro sobre as experiências das criadas negras que trabalhavam para as famílias brancas.;2
Quando Duas Mulheres Pecam;Persona;1966;8.1;Drama;Uma enfermeira é encarregada de uma atriz silenciosa e descobre que sua personalidade parece convergir em uma.;2
A Vida de Brian;Life of Brian;1979;8.0;Comédia;Nascido no Natal original no estábulo ao lado de Jesus, Brian de Nazaret passa a vida confundido com um messias.;4
Aladdin;Aladdin;1992;8.0;Animação;Um menino de rua bondoso e um Vizir competem por uma lâmpada mágica que tem o poder de realizar seus mais profundos desejos.;0
As Diabólicas;Diabolique;1955;8.1;Policial;A esposa e a amante de um diretor de escola detestável planejam assassiná-lo com o que elas acham ser o plano perfeito.;1
